x1,y1,x2,y2
1290,1433,804,1
804,1,560,1563
560,1563,284,189
284,189,373,1477
373,1477,234,236
234,236,508,1545
508,1545,327,155
327,155,482,1535
482,1535,470,72
470,72,586,1571
586,1571,573,34
573,34,547,1559
547,1559,397,110
397,110,1600,828
1600,828,339,147
339,147,445,1517
445,1517,253,217
253,217,408,1498
408,1498,373,124
373,124,1586,951
1586,951,397,110
397,110,534,1555
534,1555,445,84
445,84,1591,924
1591,924,421,96
421,96,573,1567
573,1567,818,1
818,1,1363,1370
1363,1370,1125,69
1125,69,1400,1330
1400,1330,954,15
954,15,1452,1265
1452,1265,1008,28
1008,28,1427,1298
1427,1298,1035,36
1035,36,1409,1319
1409,1319,708,6
708,6,1301,1425
1301,1425,776,1
776,1,1452,1265
1452,1265,845,2
845,2,421,1505
421,1505,306,172
306,172,457,1523
457,1523,470,72
470,72,640,1584
640,1584,560,38
560,38,1353,1379
1353,1379,941,13
941,13,1322,1407
1322,1407,763,1
763,1,653,1587
653,1587,667,12
667,12,626,1581
626,1581,71,473
71,473,680,1591
680,1591,45,537
45,537,721,1597
721,1597,41,550
41,550,667,1589
667,1589,600,26
600,26,600,1575
600,1575,508,56
508,56,560,1563
560,1563,115,388
115,388,534,1555
534,1555,385,117
385,117,433,1511
433,1511,327,155
327,155,397,1491
397,1491,178,297
178,297,482,1535
482,1535,361,132
361,132,521,1550
521,1550,196,276
196,276,408,1498
408,1498,361,132
361,132,1577,991
1577,991,482,66
482,66,1596,883
1596,883,408,103
408,103,1600,814
1600,814,433,90
433,90,470,1529
470,1529,859,3
859,3,1332,1398
1332,1398,914,9
914,9,1444,1276
1444,1276,1061,44
1061,44,1460,1254
1460,1254,941,13
941,13,1391,1340
1391,1340,680,10
680,10,1444,1276
1444,1276,831,1
831,1,1290,1433
1290,1433,790,1
790,1,1409,1319
1409,1319,968,18
968,18,1363,1370
1363,1370,573,34
573,34,613,1578
613,1578,547,42
547,42,1343,1389
1343,1389,1150,81
1150,81,1332,1398
1332,1398,534,46
534,46,586,1571
586,1571,457,78
457,78,560,1563
560,1563,421,96
421,96,385,1484
385,1484,215,256
215,256,373,1477
373,1477,274,198
274,198,397,1491
397,1491,170,308
170,308,385,1484
385,1484,306,172
306,172,1600,773
1600,773,373,124
373,124,495,1540
495,1540,900,7
900,7,1382,1350
1382,1350,1112,64
1112,64,1435,1287
1435,1287,600,26
600,26,653,1587
653,1587,721,4
721,4,640,1584
640,1584,521,51
521,51,573,1567
573,1567,339,147
339,147,521,1550
521,1550,243,226
243,226,445,1517
445,1517,224,246
224,246,433,1511
433,1511,205,266
205,266,421,1505
421,1505,521,51
521,51,776,1600
776,1600,613,23
613,23,613,1578
613,1578,831,1
831,1,1332,1398
1332,1398,694,8
694,8,1489,1207
1489,1207,886,5
886,5,1363,1370
1363,1370,626,20
626,20,1516,1159
1516,1159,600,26
600,26,1332,1398
1332,1398,776,1
776,1,470,1529
470,1529,327,155
327,155,1599,842
1599,842,385,117
385,117,1574,1005
1574,1005,470,72
470,72,573,1567
573,1567,263,208
263,208,470,1529
470,1529,408,103
408,103,560,1563
560,1563,95,424
95,424,534,1555
534,1555,508,56
508,56,776,1600
776,1600,600,26
600,26,1400,1330
1400,1330,1008,28
1008,28,1475,1231
1475,1231,981,21
981,21,1427,1298
1427,1298,1087,53
1087,53,1460,1254
1460,1254,859,3
859,3,1418,1309
1418,1309,521,51
521,51,613,1578
613,1578,482,66
482,66,600,1575
600,1575,586,30
586,30,1311,1416
1311,1416,560,38
560,38,831,1600
831,1600,482,66
482,66,122,1225
122,1225,470,72
470,72,408,1498
408,1498,187,287
187,287,385,1484
385,1484,295,181
295,181,350,1462
350,1462,274,198
274,198,482,1535
482,1535,316,164
316,164,1599,856
1599,856,350,139
350,139,1593,910
1593,910,457,78
457,78,547,1559
547,1559,385,117
385,117,1599,759
1599,759,408,103
408,103,187,1314
187,1314,397,110
397,110,508,1545
508,1545,445,84
445,84,586,1571
586,1571,831,1
831,1,1400,1330
1400,1330,927,11
927,11,1452,1265
1452,1265,1074,49
1074,49,1418,1309
1418,1309,721,4
721,4,1372,1360
1372,1360,653,14
653,14,626,1581
626,1581,560,38
560,38,586,1571
586,1571,433,90
433,90,408,1498
408,1498,339,147
339,147,495,1540
495,1540,224,246
224,246,373,1477
373,1477,205,266
205,266,1391,1340
1391,1340,763,1
763,1,640,1584
640,1584,708,6
708,6,1322,1407
1322,1407,640,17
640,17,790,1600
790,1600,534,46
534,46,1311,1416
1311,1416,995,24
995,24,1372,1360
1372,1360,845,2
845,2,1343,1389
1343,1389,613,23
613,23,1322,1407
1322,1407,573,34
573,34,845,1599
845,1599,600,26
600,26,640,1584
640,1584,680,10
680,10,1372,1360
1372,1360,900,7
900,7,1427,1298
1427,1298,1048,40
1048,40,1382,1350
1382,1350,1008,28
1008,28,1322,1407
1322,1407,804,1
804,1,653,1587
653,1587,37,563
37,563,708,1595
708,1595,55,511
55,511,626,1581
626,1581,495,61
495,61,130,1237
130,1237,445,84
445,84,482,1535
482,1535,153,330
153,330,445,1517
445,1517,361,132
361,132,1600,787
1600,787,457,78
457,78,521,1550
521,1550,316,164
316,164,397,1491
397,1491,161,319
161,319,457,1523
457,1523,263,208
263,208,421,1505
421,1505,831,1
831,1,1460,1254
1460,1254,1021,32
1021,32,1435,1287
1435,1287,1099,58
1099,58,1467,1242
1467,1242,954,15
954,15,1409,1319
1409,1319,694,8
694,8,667,1589
667,1589,573,34
573,34,886,1596
886,1596,534,46
534,46,547,1559
547,1559,521,51
521,51,1311,1416
1311,1416,694,8
694,8,1301,1425
1301,1425,886,5
886,5,1343,1389
1343,1389,818,1
818,1,421,1505
421,1505,1583,965
1583,965,361,132
361,132,433,1511
433,1511,137,353
137,353,457,1523
457,1523,433,90
433,90,196,1325
196,1325,421,96
421,96,534,1555
534,1555,373,124
373,124,470,1529
470,1529,234,236
234,236,1574,596
1574,596,284,189
284,189,1591,677
1591,677,316,164
316,164,470,1529
470,1529,845,2
845,2,653,1587
653,1587,790,1
790,1,560,1563
560,1563,586,30
586,30,900,1594
900,1594,547,42
547,42,804,1600
804,1600,470,72
470,72,600,1575
600,1575,71,473
71,473,586,1571
586,1571,547,42
547,42,1311,1416
1311,1416,1187,100
1187,100,1343,1389
1343,1389,981,21
981,21,1460,1254
1460,1254,1074,49
1074,49,1467,1242
1467,1242,1035,36
1035,36,1353,1379
1353,1379,626,20
626,20,859,1598
859,1598,495,61
495,61,1311,1416
1311,1416,818,1
818,1,1391,1340
1391,1340,914,9
914,9,508,1545
508,1545,385,117
385,117,215,1345
215,1345,373,124
373,124,1596,718
1596,718,408,103
408,103,1562,1044
1562,1044,397,1491
397,1491,224,246
224,246,421,1505
421,1505,1586,951
1586,951,586,30
586,30,818,1600
818,1600,482,66
482,66,790,1600
790,1600,457,78
457,78,115,1213
115,1213,445,84
445,84,790,1600
790,1600,626,20
626,20,626,1581
626,1581,600,26
600,26,1322,1407
1322,1407,886,5
886,5,1467,1242
1467,1242,1087,53
1087,53,1400,1330
1400,1330,859,3
859,3,1382,1350
1382,1350,749,2
749,2,653,1587
653,1587,327,155
327,155,408,1498
408,1498,243,226
243,226,361,1469
361,1469,306,172
306,172,521,1550
521,1550,482,66
482,66,954,1586
954,1586,600,26
600,26,914,1592
914,1592,560,38
560,38,818,1600
818,1600,653,14
653,14,1332,1398
1332,1398,735,3
735,3,1427,1298
1427,1298,873,4
873,4,1279,1442
1279,1442,845,2
845,2,626,1581
626,1581,547,42
547,42,560,1563
560,1563,397,110
397,110,178,1304
178,1304,508,56
508,56,137,1248
137,1248,470,72
470,72,560,1563
560,1563,108,400
108,400,521,1550
521,1550,187,287
187,287,1382,1350
1382,1350,954,15
954,15,1444,1276
1444,1276,1125,69
1125,69,1332,1398
1332,1398,626,20
626,20,653,1587
653,1587,33,576
33,576,735,1598
735,1598,25,603
25,603,708,1595
708,1595,50,524
50,524,667,1589
667,1589,350,139
350,139,534,1555
534,1555,495,61
495,61,1598,869
1598,869,306,172
306,172,397,1491
397,1491,153,330
153,330,1435,1287
1435,1287,1061,44
1061,44,1400,1330
1400,1330,667,12
667,12,1343,1389
1343,1389,927,11
927,11,1489,1207
1489,1207,900,7
900,7,1353,1379
1353,1379,776,1
776,1,1290,1433
1290,1433,763,1
763,1,1435,1287
1435,1287,914,9
914,9,1496,1196
1496,1196,350,1462
350,1462,263,208
263,208,385,1484
385,1484,161,319
161,319,859,1598
859,1598,613,23
613,23,927,1590
927,1590,573,34
573,34,1311,1416
1311,1416,470,72
470,72,1595,897
1595,897,445,1517
445,1517,1596,883
1596,883,508,56
508,56,88,1165
88,1165,495,61
495,61,845,1599
845,1599,547,42
547,42,60,1103
60,1103,534,46
534,46,145,1260
145,1260,521,51
521,51,873,1597
873,1597,667,12
667,12,1516,1159
1516,1159,350,1462
350,1462,1533,1122
1533,1122,667,12
667,12,640,1584
640,1584,508,56
508,56,547,1559
547,1559,284,189
284,189,457,1523
457,1523,253,217
253,217,361,1469
361,1469,215,256
215,256,1400,1330
1400,1330,1021,32
1021,32,1391,1340
1391,1340,1162,87
1162,87,1409,1319
1409,1319,1137,75
1137,75,1452,1265
1452,1265,968,18
968,18,433,1511
433,1511,130,364
130,364,547,1559
547,1559,445,84
445,84,108,1201
108,1201,433,90
433,90,790,1600
790,1600,547,42
547,42,153,1271
153,1271,397,110
397,110,1600,773
1600,773,508,1545
508,1545,284,189
284,189,495,1540
495,1540,457,78
457,78,1570,1018
1570,1018,397,1491
397,1491,196,276
196,276,373,1477
373,1477,1549,1083
1549,1083,600,26
600,26,613,1578
613,1578,495,61
495,61,1600,828
1600,828,350,139
350,139,1581,978
1581,978,433,1511
433,1511,316,164
316,164,586,1571
586,1571,408,103
408,103,1589,663
1589,663,327,155
327,155,534,1555
534,1555,1598,732
1598,732,274,198
274,198,470,1529
470,1529,1601,801
1601,801,445,84
445,84,1311,1416
1311,1416,613,23
613,23,968,1583
968,1583,508,56
508,56,1311,1416
1311,1416,914,9
914,9,640,1584
640,1584,886,5
886,5,1444,1276
1444,1276,1112,64
1112,64,1322,1407
1322,1407,859,3
859,3,640,1584
640,1584,33,576
33,576,613,1578
613,1578,560,38
560,38,573,1567
573,1567,433,90
433,90,482,1535
482,1535,339,147
339,147,263,1393
263,1393,327,155
327,155,1583,636
1583,636,339,147
339,147,1343,1389
1343,1389,721,4
721,4,1382,1350
1382,1350,640,17
640,17,1372,1360
1372,1360,1137,75
1137,75,1343,1389
1343,1389,954,15
954,15,1363,1370
1363,1370,804,1
804,1,1435,1287
1435,1287,1035,36
1035,36,1418,1309
1418,1309,1174,93
1174,93,914,1592
914,1592,508,56
508,56,495,1540
495,1540,1600,814
1600,814,350,139
350,139,586,1571
586,1571,600,26
600,26,65,1115
65,1115,560,38
560,38,1322,1407
1322,1407,586,30
586,30,941,1588
941,1588,640,17
640,17,1343,1389
1343,1389,224,246
224,246,470,1529
470,1529,385,117
385,117,421,1505
421,1505,170,308
170,308,1418,1309
1418,1309,981,21
981,21,1372,1360
1372,1360,708,6
708,6,626,1581
626,1581,101,411
101,411,495,1540
495,1540,397,110
397,110,445,1517
445,1517,234,236
234,236,1562,557
1562,557,295,181
295,181,339,1454
339,1454,1460,1254
1460,1254,327,1446
327,1446,1467,1242
1467,1242,1048,40
1048,40,1452,1265
1452,1265,361,1469
361,1469,1509,1171
1509,1171,831,1
831,1,600,1575
600,1575,457,78
457,78,818,1600
818,1600,521,51
521,51,95,1177
95,1177,433,90
433,90,1589,938
1589,938,421,1505
421,1505,284,189
284,189,408,1498
408,1498,205,266
205,266,1363,1370
1363,1370,790,1
790,1,1391,1340
1391,1340,873,4
873,4,1409,1319
1409,1319,941,13
941,13,653,1587
653,1587,735,3
735,3,886,1596
886,1596,560,38
560,38,161,1282
161,1282,421,96
421,96,521,1550
521,1550,88,436
88,436,495,1540
495,1540,482,66
482,66,1599,759
1599,759,508,56
508,56,873,1597
873,1597,640,17
640,17,640,1584
640,1584,25,603
25,603,749,1599
749,1599,1234,128
1234,128,1279,1442
1279,1442,831,1
831,1,1372,1360
1372,1360,586,30
586,30,626,1581
626,1581,534,46
534,46,1322,1407
1322,1407,626,20
626,20,981,1580
981,1580,534,46
534,46,55,1090
55,1090,521,51
521,51,586,1571
586,1571,482,66
482,66,82,1153
82,1153,586,30
586,30,859,1598
859,1598,145,341
145,341,397,1491
397,1491,137,353
137,353,859,1598
859,1598,470,72
470,72,1600,773
1600,773,470,1529
470,1529,1593,910
1593,910,457,1523
457,1523,187,287
187,287,373,1477
373,1477,263,208
263,208,1599,745
1599,745,521,51
521,51,50,1077
50,1077,508,56
508,56,804,1600
804,1600,457,78
457,78,137,1248
137,1248,421,96
421,96,790,1600
790,1600,7,698
7,698,776,1600
776,1600,14,657
14,657,721,1597
721,1597,234,236
234,236,1372,1360
1372,1360,1162,87
1162,87,900,1594
900,1594,1150,81
1150,81,1460,1254
1460,1254,1125,69
1125,69,900,1594
900,1594,680,10
680,10,1353,1379
1353,1379,763,1
763,1,1452,1265
1452,1265,995,24
995,24,1435,1287
1435,1287,653,14
653,14,1562,1044
1562,1044,626,20
626,20,22,985
22,985,1343,212
1343,212,19,971
19,971,626,20
